 t,xh,yh,zh,vxh,vyh,vz
 0.0000000000000000E+00, 1.8733430375446749E+00, 4.6833225281837292E+00,-6.1370789424293443E-02,-7.1040288545694674E-03, 3.1641930734429640E-03, 1.4582112113878479E-04
 0.3652500000000000E+06,-5.4371769742562321E+00, 2.4456181127941715E-01, 1.1821616502659558E-01,-4.4619869438613401E-04,-7.1901191389409855E-03, 4.4382294836056133E-05
 0.7305000000000000E+06, 1.0127389205989898E+00,-5.1267615196021286E+00, 6.4944113934247939E-03, 7.2820916507590769E-03, 1.8332887264894899E-03,-1.6741409868423757E-04
 0.1095750000000000E+07, 3.7443456168877223E+00, 3.2270556547579208E+00,-1.0024911381892110E-01,-5.0732292854910061E-03, 6.0940735489733028E-03, 7.0080455719674027E-05
 0.1461000000000000E+07,-4.8782005862817588E+00, 2.2606591536368534E+00, 8.7443394462200813E-02,-3.3442044006451858E-03,-6.4838185332501911E-03, 1.1672571477800444E-04
 0.1826250000000000E+07,-1.2032488523369254E+00,-5.2357619955342827E+00, 6.6646059523054357E-02, 7.1809755803066986E-03,-1.3194913632054723E-03,-1.4154981288717533E-04
 0.2191500000000000E+07, 4.8203577537397413E+00, 1.0118572950909897E+00,-1.1097031367857697E-01,-1.7582081820750742E-03, 7.7595430434830052E-03,-2.9898425191985865E-05
 0.2556750000000000E+07,-3.4955777521927454E+00, 3.9025825591417012E+00, 3.7741150869548525E-02,-5.8534859905768179E-03,-4.6719992347191092E-03, 1.6926164360225453E-04
 0.2922000000000000E+07,-3.1706827335881065E+00,-4.4661766896062023E+00, 1.1416641312891555E-01, 5.9184611847084706E-03,-4.0206989902233890E-03,-8.6846588429361675E-05
 0.3287250000000000E+07, 4.7986115410098211E+00,-1.4420316843922678E+00,-8.9544560483601293E-02, 1.9014402876202587E-03, 7.5919863811660911E-03,-1.2494281531970841E-04
 0.3652500000000000E+07,-1.4245131291928186E+00, 4.8641133007068609E+00,-2.4673407755241645E-02,-7.5316232249399671E-03,-1.7829571290662748E-03, 1.8932622937006699E-04
 0.4017750000000000E+07,-4.6093914613916072E+00,-3.0082052606519003E+00, 1.4229800766547845E-01, 3.8220249745445968E-03,-6.0036453157368578E-03,-1.3936972774401362E-05
 0.4383000000000000E+07, 3.7715713516193072E+00,-3.5431803540595865E+00,-4.3282280475967910E-02, 4.8541533250724906E-03, 5.8266503481812478E-03,-1.8826353982567652E-04
 0.4748250000000000E+07, 9.9302946007000426E-01, 4.8259630192661582E+00,-8.7672105964119992E-02,-7.7419052381571627E-03, 1.8198619833583566E-03, 1.6259237926615972E-04
 0.5113500000000000E+07,-5.3237623822832711E+00,-1.0763838366982954E+00, 1.4669546513462392E-01, 1.1458709328144455E-03,-7.1248422201304678E-03, 6.8111182576632414E-05
 0.5478750000000000E+07, 2.0570479912871300E+00,-4.9408115123122069E+00, 1.5531161839899438E-02, 6.6122401601538426E-03, 3.1607725986693871E-03,-2.1273381766041133E-04
 0.5844000000000000E+07, 3.1940786246647725E+00, 3.7072419786666502E+00,-1.3597498488907997E-01,-6.1034881942883474E-03, 5.1783663779023728E-03, 8.8732786739416253E-05
 0.6209250000000000E+07,-5.1729755329775688E+00, 1.0715210842288392E+00, 1.2561650817600661E-01,-1.9088866660812429E-03,-7.1761505147159158E-03, 1.5239333772130948E-04
 0.6574500000000000E+07, 3.0685350801120621E-02,-5.4667120313648754E+00, 7.5500539955176235E-02, 7.1629075379113401E-03, 2.3697198058837723E-04,-2.0413914752639043E-04
 0.6939750000000000E+07, 4.6540648432335203E+00, 1.7662545869360391E+00,-1.5869883198244983E-01,-3.0745776445660652E-03, 7.2493568561833475E-03,-1.1536071016142314E-05
 0.7305000000000000E+07,-4.0737201341860070E+00, 3.0808579862769467E+00, 7.8893190988173406E-02,-4.9461023466878130E-03,-5.8761035618557040E-03, 2.2667330867858916E-04
 0.7670250000000000E+07,-1.9816445773055900E+00,-5.1187927174123917E+00, 1.2828761154142743E-01, 6.6486763069726323E-03,-2.5919449810214851E-03,-1.6778436597418073E-04
 0.8035500000000000E+07, 5.1105923704426131E+00,-5.0559679648605715E-01,-1.5249035401818337E-01, 3.5592674124668990E-04, 7.6306250476206221E-03,-1.0942332621746194E-04
 0.8400750000000000E+07,-2.1680615141675359E+00, 4.4876128876123840E+00, 1.3253535815375859E-02,-7.1891137114392127E-03,-3.1898746481474230E-03, 2.6778470892792198E-04
 0.8766000000000000E+07,-3.7029887486475173E+00,-3.9570070188582687E+00, 1.6635019922727751E-01, 5.1420112810900620E-03,-5.0864541081356296E-03,-1.0601465707366516E-04
 0.9131250000000000E+07, 4.5797756515315360E+00,-2.6314913379173941E+00,-1.2079397662127633E-01, 3.3888622974023617E-03, 6.6076382429575828E-03,-1.8486744408598065E-04
 0.9496500000000000E+07, 1.8942509238065894E-01, 4.9536996166641654E+00,-5.7997485142707701E-02,-7.8974924699497812E-03, 3.4119633209469543E-04, 2.5844925201371969E-04
 0.9861750000000000E+07,-4.8570902487028427E+00,-2.1326148673897762E+00, 1.8332189828419554E-01, 2.6907687738748345E-03,-6.8873049792354570E-03,-2.3399719128896975E-05
 0.1022700000000000E+08, 3.2623378286929459E+00,-4.2674019435324624E+00,-7.1942373893291015E-02, 5.6587568281474977E-03, 4.6104479728138739E-03,-2.3169607804347699E-04
 0.1059225000000000E+08, 2.4744450505954840E+00, 4.3510548685029686E+00,-1.1882759617580615E-01,-6.8771334755932121E-03, 3.7467627505521615E-03, 2.0232894066073365E-04
 0.1095750000000000E+08,-5.1889445220961470E+00, 8.6366605878804986E-02, 1.7492394155317706E-01,-4.3370600536791088E-04,-7.5467668410155661E-03, 6.9430420866260954E-05
 0.1132275000000000E+08, 1.3866447934796957E+00,-5.2137846149868725E+00,-1.3167187675616268E-02, 7.0031259864187425E-03, 1.9452245373118510E-03,-2.4890573125261028E-04
 0.1168800000000000E+08, 4.1981311390669651E+00, 2.8751231466013052E+00,-1.5714253315414625E-01,-4.5451409164725988E-03, 6.2258597184649631E-03, 1.1736589674861129E-04
 0.1205325000000000E+08,-4.5723247890866157E+00, 2.2931604294271635E+00, 1.4091440296596738E-01,-3.6491800404384184E-03,-6.7447583586372232E-03, 1.5447948712945169E-04
 0.1241850000000000E+08,-7.3434782778999597E-01,-5.3250222294419416E+00, 4.6357761789551657E-02, 7.2208067036949163E-03,-1.0377549860350059E-03,-2.3318684770003094E-04
 0.1278375000000000E+08, 5.0866739104048095E+00, 8.6981002649789296E-01,-1.6796872170760757E-01,-1.5210564212715463E-03, 7.4490322617766190E-03, 2.3172144024380886E-05
 0.1314900000000000E+08,-3.0830537866758778E+00, 4.0337872033475843E+00, 8.6591542150287623E-02,-6.2233088866515953E-03,-4.5774771641025796E-03, 2.1167679622570996E-04
 0.1351425000000000E+08,-2.7703660659516549E+00,-4.5686536985356199E+00, 9.7440747493086594E-02, 6.2182946478100687E-03,-3.9008499625283136E-03,-1.8514125091535376E-04
 0.1387950000000000E+08, 5.0551215314123139E+00,-1.2901292253365704E+00,-1.5220100801168729E-01, 1.6482157809965450E-03, 7.3382469781267789E-03,-6.4584259743537948E-05
 0.1424475000000000E+08,-1.0461142352648751E+00, 4.9506328907912307E+00, 2.3407736185106880E-02,-7.5982074823117652E-03,-1.5341344028233241E-03, 2.2946149439412867E-04
 0.1461000000000000E+08,-4.3446152084595582E+00,-3.0474682610692700E+00, 1.3056944069737958E-01, 4.1204984381626123E-03,-6.1369181255213432E-03,-1.1186008153781276E-04
 0.1497525000000000E+08, 4.1265780575217832E+00,-3.2644834870685036E+00,-1.1308195524462036E-01, 4.4699012054683256E-03, 5.9687455525458582E-03,-1.3362646068038175E-04
 0.1534050000000000E+08, 1.1624621513588189E+00, 4.9116360429421730E+00,-3.7536394045025158E-02,-7.5600847639367063E-03, 1.8024582616276966E-03, 2.0608833236136133E-04
 0.1570575000000000E+08,-5.1682427565277074E+00,-1.0517337816352927E+00, 1.3930283571744032E-01, 1.2895202127910521E-03,-7.3270005098546630E-03,-2.5949280701166472E-05
 0.1607100000000000E+08, 2.4716604242277511E+00,-4.7048573433844814E+00,-5.7950832913737073E-02, 6.4513368292222874E-03, 3.5870189952544092E-03,-1.7195730255284100E-04
 0.1643625000000000E+08, 3.1564319057297974E+00, 3.9266491586488779E+00,-8.5391085360880345E-02,-6.1116767848063856E-03, 4.8218857409471098E-03, 1.4629631346070297E-04
 0.1680150000000000E+08,-5.1085097998614248E+00, 1.0742078514657669E+00, 1.2274611516433175E-01,-1.7975093352283957E-03,-7.2993627376322081E-03, 5.7484067200829137E-05
 0.1716675000000000E+08, 3.9534217699531893E-01,-5.3581275311839098E+00, 2.7281457154247021E-03, 7.2699179759129493E-03, 6.6130748313530073E-04,-1.7410025025345655E-04
 0.1753200000000000E+08, 4.5822736222194784E+00, 2.1402431593794971E+00,-1.1190776264726866E-01,-3.4626153602248001E-03, 6.9405206271505506E-03, 6.0943362398319614E-05
 0.1789725000000000E+08,-4.1784383833521526E+00, 2.9894468585818519E+00, 8.4535058160950388E-02,-4.6825953021742512E-03,-6.0335996077441768E-03, 1.2591910137105589E-04
 0.1826250000000000E+08,-1.6954630080386979E+00,-5.1478101656948674E+00, 5.8012816957861653E-02, 6.8736399656736061E-03,-2.2587084360319648E-03,-1.4336831093394401E-04
 0.1862775000000000E+08, 5.1242966971154207E+00,-1.1165455938789161E-01,-1.1120271758937852E-01,-1.6053803198752935E-04, 7.6536955690308809E-03,-3.2283090140787964E-05
 0.1899300000000000E+08,-2.4575686677975241E+00, 4.3875362461119387E+00, 2.9095542310043559E-02,-6.9223734160307540E-03,-3.5924486495204329E-03, 1.6848753421676313E-04
 0.1935825000000000E+08,-3.4954491620036641E+00,-4.1467720488178283E+00, 1.0042542050922781E-01, 5.4191928161436377E-03,-4.7858000468166597E-03,-8.5890906321007995E-05
 0.1972350000000000E+08, 4.7045569207907647E+00,-2.3368610390435247E+00,-8.3557084770841214E-02, 2.9898211233293126E-03, 6.8462714701706291E-03,-1.1153165827532605E-04
 0.2008875000000000E+08,-1.7841157491174717E-01, 4.9392323628449439E+00,-3.4762377483488718E-02,-7.9270719308278288E-03,-2.0954580491849484E-04, 1.7012613997300315E-04
 0.2045400000000000E+08,-4.7303275532923310E+00,-2.4966340287927937E+00, 1.2242474949899466E-01, 3.1264604637059774E-03,-6.6332480881676394E-03,-9.7083646540912170E-06
 0.2081925000000000E+08, 3.4662931654883207E+00,-4.1317337672168604E+00,-3.6083798056051691E-02, 5.3827951846666415E-03, 4.8892091301963331E-03,-1.6169938443888438E-04
 0.2118450000000000E+08, 2.2019030184169619E+00, 4.4171394981820260E+00,-9.2483911136274008E-02,-7.1848982072260361E-03, 3.3812820140063874E-03, 1.2296670273427354E-04
 0.2154975000000000E+08,-5.1893948175947768E+00,-3.9112460162404600E-01, 1.1965208267347752E-01, 1.4531526159812923E-04,-7.5389106864644471E-03, 7.7517059300444611E-05
 0.2191500000000000E+08, 1.6875232506533389E+00,-5.2263396695496604E+00, 2.0652851312582862E-02, 6.7574950623862920E-03, 2.2865499502440719E-03,-1.7957037281951264E-04
 0.2228025000000000E+08, 4.1005668880037520E+00, 2.9270824889259690E+00,-1.3031030360116522E-01,-4.8291959060040709E-03, 6.1068582558588122E-03, 4.0390515037009824E-05
 0.2264550000000000E+08,-4.6746450266966155E+00, 1.8560972351461902E+00, 8.9377605963820231E-02,-3.2208529540794814E-03,-7.1011099392942929E-03, 1.6458000919469275E-04
 0.2301075000000000E+08,-3.4645856417951959E-01,-5.4882811359077026E+00, 7.8133976054723830E-02, 7.1000458048092810E-03,-5.7271708811157276E-04,-1.6812803548267358E-04
 0.2337600000000000E+08, 5.1465840518062578E+00, 8.3997737050084043E-01,-1.4202874779744809E-01,-1.6486670944913797E-03, 7.3421792074220950E-03,-5.3264978657445187E-05
 0.2374125000000000E+08,-3.1645443852644739E+00, 3.7535397181696650E+00, 3.3617138086254723E-02,-6.2091880126040905E-03,-5.0117626605905114E-03, 2.2904180619625291E-04
 0.2410650000000000E+08,-2.3371595220303996E+00,-4.8772394680615410E+00, 1.2798636238268218E-01, 6.3898227466057120E-03,-3.4230505232748188E-03,-1.2741411986471807E-04
 0.2447175000000000E+08, 5.2050250731379784E+00,-1.3704787083041423E+00,-1.2682945281882538E-01, 1.5059856496405506E-03, 7.1273649814082426E-03,-1.3664056487858376E-04
 0.2483700000000000E+08,-9.2022928673738102E-01, 4.8127342166952571E+00,-3.7098463797973373E-02,-7.8294700714449661E-03,-1.6122945770322039E-03, 2.4562863716764597E-04
